case	exit_status
prepare-resource-config	0
unit-tests	0
prepare-controller	0
prepare-runtime-config	0
cmake	0
build	0
verify-runtime-weights	0
relocate-runtime-air	0
npu-ready-pre-eager-1	0
benchmark-eager-1	0
npu-ready-pre-graph-1	0
benchmark-graph-1	0
npu-ready-pre-cruise-1	0
benchmark-cruise-1	0
npu-ready-pre-cruise-2	0
benchmark-cruise-2	0
npu-ready-pre-graph-2	0
benchmark-graph-2	0
npu-ready-pre-eager-2	0
benchmark-eager-2	0
npu-ready-pre-graph-3	0
benchmark-graph-3	0
npu-ready-pre-cruise-3	0
benchmark-cruise-3	0
npu-ready-pre-eager-3	0
benchmark-eager-3	0
compare	1
driver-exit	1
